Datetime,Price
9-Jan-20,7817.5
8-Jan-20,8036.8
7-Jan-20,8150
6-Jan-20,7757.9
5-Jan-20,7364.6
4-Jan-20,7369.8
3-Jan-20,7367.5
2-Jan-20,6989.4
1-Jan-20,7212.7
31-Dec-19,7208.3
30-Dec-19,7260.9
29-Dec-19,7417.9
28-Dec-19,7334.4
27-Dec-19,7287
26-Dec-19,7232.4
25-Dec-19,7220.1
24-Dec-19,7276.9
23-Dec-19,7347.4
22-Dec-19,7532
21-Dec-19,7166.4
20-Dec-19,7212.9
19-Dec-19,7181.8
18-Dec-19,7323.4
17-Dec-19,6667.1
16-Dec-19,6926.8
15-Dec-19,7152.7
14-Dec-19,7100.8
13-Dec-19,7283.2
12-Dec-19,7224
11-Dec-19,7230.7
10-Dec-19,7254.6
9-Dec-19,7379.5
8-Dec-19,7564.6
7-Dec-19,7543.2
6-Dec-19,7588.3
5-Dec-19,7440
4-Dec-19,7238.2
3-Dec-19,7336
2-Dec-19,7350.3
1-Dec-19,7450.1
30-Nov-19,7599.9
29-Nov-19,7796.6
28-Nov-19,7460.8
27-Nov-19,7549.3
26-Nov-19,7198.3
25-Nov-19,7168
24-Nov-19,6965.3
23-Nov-19,7352.6
22-Nov-19,7323
21-Nov-19,7671.1
20-Nov-19,8126.4
19-Nov-19,8164.9
18-Nov-19,8219.5
17-Nov-19,8537.3
16-Nov-19,8523.5
15-Nov-19,8495.8
14-Nov-19,8655.7
13-Nov-19,8801.1
12-Nov-19,8830
11-Nov-19,8737.7
10-Nov-19,9068.4
9-Nov-19,8828
8-Nov-19,8782.4
7-Nov-19,9208
6-Nov-19,9353
5-Nov-19,9333.9
4-Nov-19,9441.2
3-Nov-19,9222.4
2-Nov-19,9332.1
1-Nov-19,9289.1
31-Oct-19,9185.6
30-Oct-19,9184.3
29-Oct-19,9445.5
28-Oct-19,9225.7
27-Oct-19,9571.8
26-Oct-19,9270.9
25-Oct-19,8679.1
24-Oct-19,7453
23-Oct-19,7493.7
22-Oct-19,8058.9
21-Oct-19,8243.9
20-Oct-19,8260.6
19-Oct-19,7992.9
18-Oct-19,7987.2
17-Oct-19,8092.3
16-Oct-19,8016
15-Oct-19,8191.1
14-Oct-19,8370
13-Oct-19,8305.7
12-Oct-19,8318.3
11-Oct-19,8280
10-Oct-19,8596
